"id","containerID","name","quantity","notes","tags","createdAt","updatedAt"
"78662036-F073-42B3-989F-4CAC48A97346","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Battery tea lights","12","","holiday|lights","2025-01-05T18:00:00Z","2025-01-29T20:00:00Z"
"8CAA2108-E302-40BC-BC15-A8DAF10DCEFB","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Wrapping paper bows","20","","holiday|gift wrap","2025-01-06T00:00:00Z","2025-01-30T00:00:00Z"
"E5FC6E88-FCD2-41BD-BE5F-697EEB91B82F","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Mini felt stockings","5","","holiday|decor","2025-01-06T06:00:00Z","2025-01-30T04:00:00Z"
"06AED467-26DF-4244-826D-E097F8AEC2CA","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Ribbon spools","3","","holiday|ribbon","2025-01-06T12:00:00Z","2025-01-30T08:00:00Z"
"DD666AEE-3A67-4AD6-802A-2E06B1C4ABF6","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Spare light bulbs","8","","holiday|lights","2025-01-06T18:00:00Z","2025-01-30T12:00:00Z"
"4FA793EA-7117-4365-AD05-ADC6E17EA204","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Extension cord","","","holiday|power","2025-01-07T00:00:00Z","2025-01-30T16:00:00Z"
"35C2EB3A-3383-4E27-9AA9-DA7201A9D04D","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Stocking hooks","6","","holiday|mantel","2025-01-07T06:00:00Z","2025-01-30T20:00:00Z"
"FBA47F69-0281-4ED7-B62D-C1AE0D5C7B70","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Mini ornament hangers","60","","holiday|supplies","2025-01-07T12:00:00Z","2025-01-31T00:00:00Z"
"197C3A6A-E101-43FD-832C-0AAA6499E0DC","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Mantel garland clips","10","","holiday|hardware","2025-01-07T18:00:00Z","2025-01-31T04:00:00Z"
"62CB2221-0521-4556-A361-3BE53286DBF8","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Tree topper star","6","","holiday|tree","2025-01-08T00:00:00Z","2025-01-31T08:00:00Z"
"EBCDFFC3-B464-4F86-ABA0-A93215CBA385","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Warm white string lights","4","Usually packed near the top.","holiday|lights","2025-01-08T06:00:00Z","2025-01-31T12:00:00Z"
"97378F78-6262-425A-836F-C9CD11A24109","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Storage bags for wreaths","2","","holiday|storage","2025-01-08T12:00:00Z","2025-01-31T16:00:00Z"
"A12F2487-E3FA-43BF-B34C-8348B9806C40","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Garland ties","12","","holiday|decor","2025-01-08T18:00:00Z","2025-01-31T20:00:00Z"
"D8E9B2A9-3286-4ADE-B460-824EAB3EFBC6","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Pinecone picks","10","Usually packed near the top.","holiday|decor","2025-01-09T00:00:00Z","2025-02-01T00:00:00Z"
"B7D109FC-1286-4AA7-AE70-7FDC33BB9025","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Silver shatterproof ornaments","24","Usually packed near the top.","holiday|ornaments","2025-01-09T06:00:00Z","2025-02-01T04:00:00Z"
"EA676401-C092-48F4-8611-3B3E99A608BC","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Santa figurine","3","","holiday|decor","2025-01-09T12:00:00Z","2025-02-01T08:00:00Z"
"23CBA36E-0155-4918-AADC-162A36DC79CA","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Bell garland","","","holiday|decor","2025-01-09T18:00:00Z","2025-02-01T12:00:00Z"
"60DCD73E-3A1B-4EB6-878F-90ABDF96713E","CCB81AC8-02E9-4540-98F1-0DB254666E0B","Cord label tags","8","","holiday|organization","2025-01-10T00:00:00Z","2025-02-01T16:00:00Z"
"96CD872E-4CEE-425B-80E6-E9499FC9B8C0","881CEBDD-B799-4792-8051-34EF47F0ADD6","Witch hat garland","5","Usually packed near the top.","holiday|decor","2025-01-14T18:00:00Z","2025-02-07T20:00:00Z"
"52992421-24B7-4E47-9E9D-E35FC56E6287","881CEBDD-B799-4792-8051-34EF47F0ADD6","Hanging spiders","8","","holiday|decor","2025-01-15T00:00:00Z","2025-02-08T00:00:00Z"
"26569F7A-F977-445F-B059-050653CBF551","881CEBDD-B799-4792-8051-34EF47F0ADD6","Battery pack for lanterns","3","","holiday|power","2025-01-15T06:00:00Z","2025-02-08T04:00:00Z"
"3960B127-3A20-4AA5-B664-00F50E2505F3","881CEBDD-B799-4792-8051-34EF47F0ADD6","Glow stick necklaces","20","","holiday|party","2025-01-15T12:00:00Z","2025-02-08T08:00:00Z"
"70C8CC6C-56B1-4BD9-9A85-E634194C9EF5","881CEBDD-B799-4792-8051-34EF47F0ADD6","Mini tombstone stakes","5","Check before buying duplicates.","holiday|yard","2025-01-15T18:00:00Z","2025-02-08T12:00:00Z"
"7905E05D-DA58-4602-9EB7-3AC10B00A75C","881CEBDD-B799-4792-8051-34EF47F0ADD6","Orange fairy lights","2","","holiday|lights","2025-01-16T00:00:00Z","2025-02-08T16:00:00Z"
"CA1CC450-B997-4975-9ED4-FE123AB4EDC7","881CEBDD-B799-4792-8051-34EF47F0ADD6","Spider web bags","4","","holiday|halloween","2025-01-16T06:00:00Z","2025-02-08T20:00:00Z"
"35504458-D099-4A68-AE73-ADC55DFD07E8","881CEBDD-B799-4792-8051-34EF47F0ADD6","Door wreath hanger","","","holiday|hardware","2025-01-16T12:00:00Z","2025-02-09T00:00:00Z"
"B061B4C8-E0F7-4A42-90D7-C67A7551B168","881CEBDD-B799-4792-8051-34EF47F0ADD6","Black flameless candles","6","","holiday|lighting","2025-01-16T18:00:00Z","2025-02-09T04:00:00Z"
"4726BADD-1E67-4AA2-B45E-CF182BB3DD61","881CEBDD-B799-4792-8051-34EF47F0ADD6","Pumpkin carving tools","","","holiday|kitchen","2025-01-17T00:00:00Z","2025-02-09T08:00:00Z"
"E138BE0D-047D-4E8C-AAC3-B4ACC2917517","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Bunny table runner","4","","holiday|table","2025-01-23T18:00:00Z","2025-02-16T20:00:00Z"
"8A402711-95E3-425C-AD68-D23249B1B52F","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Egg dye tablets","","","holiday|craft","2025-01-24T00:00:00Z","2025-02-17T00:00:00Z"
"21A01D04-A490-4A55-99F6-541559D0E66C","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Ceramic rabbit figurines","2","Used most often during setup.","holiday|decor","2025-01-24T06:00:00Z","2025-02-17T04:00:00Z"
"7DB48034-9A59-487F-9B99-A5DF48A85CC7","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Brunch napkin rings","8","Keep together with matching accessories.","holiday|table","2025-01-24T12:00:00Z","2025-02-17T08:00:00Z"
"3F68A23F-0C47-4056-B4D8-7B7D6FD566DF","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Pastel paper straws","20","","holiday|party","2025-01-24T18:00:00Z","2025-02-17T12:00:00Z"
"A97DA419-7BC2-4E94-B68B-7962372C98F2","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Paint brushes for eggs","5","","holiday|craft","2025-01-25T00:00:00Z","2025-02-17T16:00:00Z"
"210D337A-4304-4A7F-9AFA-16A16FA8DC17","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Plastic fillable eggs","30","Check before buying duplicates.","holiday|easter","2025-01-25T06:00:00Z","2025-02-17T20:00:00Z"
"CDBBCD6F-B3E6-4C07-A813-416B3C0356EC","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Treat bags","16","Keep together with matching accessories.","holiday|party","2025-01-25T12:00:00Z","2025-02-18T00:00:00Z"
"F8AB1A9F-5BC6-4F41-A08A-519B69CD5B2C","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Basket cellophane bags","10","","holiday|gift wrap","2025-01-25T18:00:00Z","2025-02-18T04:00:00Z"
"75E53370-4902-4FAA-AB66-1882488CCABE","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Mini chalkboard signs","3","","holiday|table","2025-01-26T00:00:00Z","2025-02-18T08:00:00Z"
"62868B3A-61C0-435F-ADD4-05E50F0F6F04","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Bunny ear headbands","4","","holiday|party","2025-01-26T06:00:00Z","2025-02-18T12:00:00Z"
"10385D19-9022-43AE-B599-7D48E3EB9686","B3C50C99-2D34-4440-AC6C-CED63B5C2E6E","Place card holders","6","","holiday|table","2025-01-26T12:00:00Z","2025-02-18T16:00:00Z"
"7A2267D5-8A08-47A9-8584-B08A6A369FEE","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Maple leaf picks","12","Check before buying duplicates.","holiday|floral","2025-02-01T18:00:00Z","2025-02-25T20:00:00Z"
"8EAEC1FC-05DE-44CC-9015-2B232250C03C","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Pumpkin spice candle tins","2","Keep together with matching accessories.","holiday|candles","2025-02-02T00:00:00Z","2025-02-26T00:00:00Z"
"45B03F0C-23B5-49E3-A05A-E9AD63E13988","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Buffalo plaid bows","6","","holiday|decor","2025-02-02T06:00:00Z","2025-02-26T04:00:00Z"
"77A220ED-FC5A-49A1-8930-4190F5430B95","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Twinkle light strand","","Usually packed near the top.","holiday|lights","2025-02-02T12:00:00Z","2025-02-26T08:00:00Z"
"C3C2BE62-D816-4BBB-9578-BFAB1288A7E6","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Amber candle holders","3","","holiday|decor","2025-02-02T18:00:00Z","2025-02-26T12:00:00Z"
"87790F01-32DD-4504-ADF5-E490947517BB","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Lantern filler pinecones","","","holiday|decor","2025-02-03T00:00:00Z","2025-02-26T16:00:00Z"
"046610A7-A5BF-4E0F-AFAD-E547FCF12F77","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Napkin set","8","","holiday|table","2025-02-03T06:00:00Z","2025-02-26T20:00:00Z"
"A47FD1DE-D895-4F5E-B55B-0398A7CB501C","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Crate risers","2","","holiday|display","2025-02-03T12:00:00Z","2025-02-27T00:00:00Z"
"80F52ABD-BE01-4630-BE93-285830A3DE33","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Porch lantern timer","","Good spare to have on hand.","holiday|electronics","2025-02-03T18:00:00Z","2025-02-27T04:00:00Z"
"E736A5CA-EC86-447C-80B1-E59FF8D911DF","C055A9E5-9A27-4A34-B612-C1409A32BC9E","Wood bead garland","","","holiday|decor","2025-02-04T00:00:00Z","2025-02-27T08:00:00Z"
"5FFB3904-B300-41D4-9E77-64797C6DA220","9FA97E22-9524-4073-AA7E-E503CD895A56","Red washi tape","4","Good spare to have on hand.","holiday|craft","2025-02-10T18:00:00Z","2025-03-06T20:00:00Z"
"3F0486F1-D106-4D74-90DD-8B775A53111D","9FA97E22-9524-4073-AA7E-E503CD895A56","Pink tissue paper","8","","holiday|gift wrap","2025-02-11T00:00:00Z","2025-03-07T00:00:00Z"
"4A37A32B-4993-4DDE-B738-638A8248C60A","9FA97E22-9524-4073-AA7E-E503CD895A56","Treat bag toppers","18","","holiday|party","2025-02-11T06:00:00Z","2025-03-07T04:00:00Z"
"F8571367-92FC-4B98-A6DE-8746D80BC235","9FA97E22-9524-4073-AA7E-E503CD895A56","Baker's twine","6","Good spare to have on hand.","holiday|craft","2025-02-11T12:00:00Z","2025-03-07T08:00:00Z"
"F5D89AFC-64EC-45BC-BE7F-0CA9715D7AE8","9FA97E22-9524-4073-AA7E-E503CD895A56","Metallic pens","4","","holiday|craft","2025-02-11T18:00:00Z","2025-03-07T12:00:00Z"
"78DD4C7E-AAFC-4636-96F2-23950054C1CF","9FA97E22-9524-4073-AA7E-E503CD895A56","Red ribbon","2","","holiday|craft","2025-02-12T00:00:00Z","2025-03-07T16:00:00Z"
